07:16:09.330519 IP 5ed92da5bdac.48424 > prod-oai-spgwc.prod-oai-public-net.8805: UDP, length 16
07:16:09.330568 IP prod-oai-spgwc.prod-oai-public-net.8805 > 5ed92da5bdac.48424: UDP, length 16
07:16:10.036201 IP enb.prod-oai-public-net.2152 > 5ed92da5bdac.2152: UDP, length 56
07:16:14.330374 IP prod-oai-spgwc.prod-oai-public-net.53655 > 5ed92da5bdac.8805: UDP, length 16
07:16:14.330439 IP 5ed92da5bdac.8805 > prod-oai-spgwc.prod-oai-public-net.53655: UDP, length 16
07:16:14.330672 IP 5ed92da5bdac.48424 > prod-oai-spgwc.prod-oai-public-net.8805: UDP, length 16
07:16:14.330695 IP prod-oai-spgwc.prod-oai-public-net.8805 > 5ed92da5bdac.48424: UDP, length 16
07:16:14.475963 ARP, Request who-has 5ed92da5bdac tell prod-oai-spgwc.prod-oai-public-net, length 28
07:16:14.475969 ARP, Reply 5ed92da5bdac is-at 02:42:c0:a8:3d:05 (oui Unknown), length 28
07:16:19.330797 IP 5ed92da5bdac.48424 > prod-oai-spgwc.prod-oai-public-net.8805: UDP, length 16
07:16:19.330843 IP prod-oai-spgwc.prod-oai-public-net.8805 > 5ed92da5bdac.48424: UDP, length 16
07:16:22.674345 IP enb.prod-oai-public-net.2152 > 5ed92da5bdac.2152: UDP, length 1060
07:16:22.674436 IP 5ed92da5bdac.56257 > 112.74.89.58.34484: UDP, length 1024
07:16:22.751473 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.751475 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.751477 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.751588 ARP, Request who-has 10.0.0.127 tell 5ed92da5bdac, length 28
07:16:22.751671 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.751720 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.751745 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.789264 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.789266 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.789349 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.789351 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.789381 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.789400 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.789440 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.790110 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790111 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790165 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790240 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.790245 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790247 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790265 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.790304 IP 5ed92da5bdac.2152 > enb.prod-oai-public-net.2152: UDP, length 1060
07:16:22.790309 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790311 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790313 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790314 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790316 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
07:16:22.790363 IP 112.74.89.58.34484 > 5ed92da5bdac.56257: UDP, length 1024
